GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsMetadataTable,12,358,8,30,3,68,8,16,0,5
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsMetadataTable.Block,0,15,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.NoneCompressor,11,11,1,1,3,3,1,2,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsInode.SymlinkInode,0,16,0,0,0,4,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsSuperblock,64,326,36,36,19,44,36,11,5,3
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsInode,56,24,20,0,4,9,14,1,4,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsDirectory,61,117,2,10,12,20,7,9,5,5
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsMetadataTable.LazyTableStream,11,157,6,12,4,28,6,7,0,4
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsRegularFile,62,52,1,1,10,12,5,6,4,6
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsSymbolicLink,146,15,12,0,29,5,16,1,10,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.Lz4Compressor,0,38,0,2,0,9,0,3,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.XzCompressor,0,23,0,0,0,4,0,2,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.DirectoryEntry,0,15,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.LzmaCompressor,23,0,0,0,4,0,2,0,2,0
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.ZstdCompressor,7,34,1,3,1,9,1,3,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsMetadataTable.new LinkedHashMap() {...},0,17,0,2,0,2,0,3,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor,10,27,2,6,2,7,2,6,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.MetadataBlock,0,9,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsInode.DirectoryInode,0,25,0,0,0,7,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.LzoCompressor,6,43,1,3,1,10,1,3,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsInode.FileInode,0,39,0,2,0,10,0,3,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsCompressor.GzipCompressor,0,26,0,0,0,4,0,2,0,2
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl,610,1120,90,79,120,213,87,51,19,26
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsInode.SpecialInode,0,16,0,0,0,4,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsFragmentEntry,0,9,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsInputStream,111,409,30,44,22,81,28,17,1,7
Saffron,io.spicelabs.saffron.filesystem.squashfs,SquashfsFileSystemImpl.SquashfsSpecialFile,141,15,16,0,19,5,18,1,10,1
Saffron,io.spicelabs.saffron.fs,FileSystem.NtfsFileSystem,5,2,0,0,1,1,1,1,1,1
Saffron,io.spicelabs.saffron.fs,FileSystem.Ext4FileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemMount.MountAllResult,0,25,0,0,0,5,0,2,0,2
Saffron,io.spicelabs.saffron.fs,FileSystem.Fat32FileSystem.FatFileCounts,0,12,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.PosixPermissions,38,88,15,9,3,10,15,10,3,10
Saffron,io.spicelabs.saffron.fs,FileSystemMount.LvmFilesystemLocation,0,24,0,0,0,5,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemMount.FilesystemLocation,0,20,0,0,0,4,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemMount.DetectedFilesystemInfo,0,12,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.Jffs2FileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystem.SquashfsFileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystem.FileSystemType,0,156,0,0,0,24,0,4,0,4
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.EntryType,0,51,0,0,0,9,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.RegularFile,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.HfsPlusFileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.BinaryContainerFileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.BtrfsFileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystem.ApfsFileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.UbifsFileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystem.CramfsFileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystem.Fat32FileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.Yaffs2FileSystem,2,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystemMount,324,459,69,59,73,93,59,46,6,20
Saffron,io.spicelabs.saffron.fs,FileSystem.XfsFileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystem.ExFatFileSystem,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.SymbolicLink,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.BasicInfo,24,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.fs,FileSystemEntry.Directory,0,2,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsBTreeReader.BTreeNode,0,27,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsBTreeReader,141,452,26,30,29,78,21,17,3,7
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsVolumeSuperblock,8,108,3,5,1,19,3,3,0,2
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsDecmpfs,486,0,71,0,105,0,45,0,8,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileSystemImpl,717,307,91,17,153,62,70,18,20,14
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsObjectHeader,29,51,4,0,5,8,7,2,5,2
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsInodeRecord,76,296,22,19,14,45,23,8,6,4
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsObjectMap,85,176,17,13,19,38,13,10,1,7
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsBTreeReader.KVEntry,0,9,0,0,0,1,0,1,0,1
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileSystemImpl.ApfsFile,273,0,24,0,52,0,24,0,12,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsDirectoryRecord,8,168,7,13,0,32,7,8,0,5
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileExtent,110,0,10,0,20,0,8,0,3,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsDecmpfs.DecmpfsHeader,9,0,0,0,1,0,1,0,1,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsXattr,225,0,30,0,40,0,21,0,6,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileSystemImpl.ApfsSymlink,117,18,12,0,22,6,15,2,9,2
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileSystemImpl.DirectoryIterator,17,0,0,0,5,0,3,0,3,0
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsContainerSuperblock,204,146,10,12,11,26,8,6,1,2
Saffron,io.spicelabs.saffron.filesystem.apfs,ApfsFileSystemImpl.ApfsDirectory,118,77,17,5,18,18,18,4,8,3
Saffron,io.spicelabs.saffron.container.compressed,CompressedSinglePayloadEntry,17,23,1,1,5,7,5,3,4,3
Saffron,io.spicelabs.saffron.container.compressed,CompressedSingleContainerFactory,44,373,16,22,17,92,15,18,0,14
Saffron,io.spicelabs.saffron.container.compressed,CompressedSingleContainer,33,116,4,4,7,29,7,9,3,9
Saffron,io.spicelabs.saffron.container.compressed,DecompressionBombException,0,26,0,0,0,5,0,2,0,2
Saffron,io.spicelabs.saffron.container.compressed,CompressedSingleFormat,19,270,7,38,3,41,8,24,1,8
Saffron,io.spicelabs.saffron.container.rpi,RpiFirmwareContainerFactory,17,135,5,26,6,28,5,16,0,5
Saffron,io.spicelabs.saffron.container.rpi,RpiFirmwareContainer.RpiFirmwareEntry,12,42,2,2,2,12,2,5,0,5
Saffron,io.spicelabs.saffron.container.rpi,RpiFirmwareContainer,120,204,17,14,31,46,18,13,6,9
Saffron,io.spicelabs.saffron.vhd.footer,VhdFooter,74,290,8,10,14,53,8,11,2,8
Saffron,io.spicelabs.saffron.vhd.footer,VhdFooter.DiskType,0,50,0,4,0,13,0,7,0,4
Saffron,io.spicelabs.saffron.gzip,GzipRawDiskImpl,227,0,4,0,62,0,20,0,18,0
Saffron,io.spicelabs.saffron.partition,PartitionTable,12,24,0,4,2,7,2,3,2,1
Saffron,io.spicelabs.saffron.partition,MbrPartition,58,74,23,14,25,17,25,18,2,7
Saffron,io.spicelabs.saffron.partition,Partition,4,14,0,0,2,2,2,2,2,2
Saffron,io.spicelabs.saffron.partition,MbrPartitionTable,41,308,15,27,11,63,12,16,1,6
Saffron,io.spicelabs.saffron.partition,PartitionTable.Type,0,15,0,0,0,3,0,1,0,1
Saffron,io.spicelabs.saffron.partition,GptPartition,19,246,7,3,2,46,6,7,1,7
Saffron,io.spicelabs.saffron.partition,GptPartitionTable,25,337,7,27,7,76,8,17,1,7
Saffron,io.spicelabs.saffron.filesystem.cramfs,CramfsSuperblock,26,380,11,46,6,72,11,27,0,9
Saffron,io.spicelabs.saffron.filesystem.cramfs,CramfsFileSystemImpl.CramfsSpecialFile,50,22,3,1,13,8,11,3,8,3
Saffron,io.spicelabs.saffron.filesystem.cramfs,CramfsFileSystemImpl.CramfsRegularFile,20,27,0,0,6,8,6,4,6,4
